Age,Revenu_annuel_k€,Heures_travail_semaine,Satisfaction,Distance_domicile_km,Niveau_education,Etat_sante,Genre,Type_logement,Region
54.0,35.170575935148776,47.0,1.2,8.7,Supérieur,Moyen,Femme,Maison,Ouest
42.0,28.917004872725805,52.0,93.6,9.6,Secondaire,,Homme,Maison,Sud
,21.319082786937958,,74.5,5.0,Supérieur,Mauvais,Homme,Appartement,Sud
44.0,43.94650178042396,51.0,69.0,27.6,Primaire,Moyen,Homme,Appartement,Ouest
37.0,68.29890525056622,46.0,44.4,10.2,Secondaire,Moyen,Homme,Appartement,Est
51.0,55.123344337226236,,24.6,18.2,Supérieur,Moyen,Femme,Appartement,Sud
44.0,25.94703469727712,32.0,,9.7,Primaire,Moyen,Homme,Maison,Sud
28.0,93.05318180723782,34.0,61.2,3.8,Supérieur,Mauvais,Homme,Maison,Est
,62.99077278983136,58.0,72.9,,Secondaire,Bon,Femme,Appartement,Est
41.0,65.54820231515373,41.0,37.2,2.6,Secondaire,Mauvais,Homme,Maison,Est
50.0,75.70057654695316,,98.7,9.1,,Moyen,Femme,Appartement,Est
59.0,17.19568822748441,42.0,7.6,5.1,Primaire,,Homme,Appartement,
18.0,31.77131722824235,35.0,8.9,1.6,Secondaire,Mauvais,Femme,Appartement,Sud
,66.46022713848545,45.0,91.8,5.3,Secondaire,,,Studio,
,33.78523343957046,60.0,65.1,3.7,Primaire,Mauvais,Femme,Appartement,Sud
43.0,44.49973055489904,33.0,33.3,1.2,Supérieur,Mauvais,Femme,Maison,Nord
52.0,48.445186943374,49.0,76.4,17.4,Primaire,Moyen,Homme,Appartement,Est
47.0,24.45189222740165,41.0,45.8,6.9,Supérieur,Moyen,Femme,Appartement,Nord
28.0,42.7836563573272,25.0,3.1,4.3,Primaire,Moyen,Homme,Appartement,Nord
27.0,68.29006434703665,,65.5,7.0,Secondaire,Mauvais,Homme,Appartement,Nord
43.0,64.58907779635682,35.0,25.1,14.0,Secondaire,Mauvais,Homme,Maison,Nord
51.0,72.26029323934935,43.0,12.4,0.2,Secondaire,Mauvais,Homme,,Sud
41.0,70.19751747581593,48.0,23.3,7.9,Supérieur,Moyen,Femme,Appartement,Sud
21.0,58.11747851405168,24.0,48.1,,Supérieur,Bon,Homme,,Nord
27.0,56.533569966193994,46.0,5.9,22.4,Secondaire,Moyen,Femme,Appartement,Nord
48.0,55.066615202132354,38.0,88.4,8.1,Secondaire,,,Maison,Nord
35.0,37.459056654920786,40.0,56.4,1.5,,Mauvais,Femme,Maison,
41.0,29.401105525587727,45.0,30.0,4.9,Supérieur,Mauvais,Femme,Appartement,Ouest
52.0,36.208053077601996,,69.0,,,Moyen,Femme,Maison,Sud
25.0,43.479413668850626,43.0,80.6,0.5,Secondaire,,Femme,Appartement,Est
35.0,36.883481105144476,26.0,61.8,21.6,Secondaire,Bon,Femme,Appartement,Nord
33.0,58.27663476967831,38.0,21.0,0.7,Primaire,Moyen,Homme,,Nord
44.0,54.037904321285026,48.0,,0.3,Supérieur,Moyen,Homme,Appartement,Sud
49.0,56.18646997440436,48.0,86.1,0.0,Supérieur,Mauvais,,Appartement,Sud
22.0,57.02816131831559,46.0,24.2,11.5,Supérieur,Moyen,Femme,Appartement,Nord
,73.91327875569065,34.0,3.0,6.1,Secondaire,Moyen,Homme,Maison,Sud
50.0,49.82854215225799,26.0,64.6,1.1,Secondaire,Bon,Homme,Appartement,
18.0,70.16738867669223,45.0,16.1,19.4,Secondaire,Moyen,Homme,Appartement,Ouest
39.0,60.331707159583345,27.0,99.1,,Secondaire,Bon,,Appartement,Sud
25.0,72.59267073270172,46.0,87.1,4.0,Secondaire,Moyen,Femme,Appartement,Nord
32.0,82.29259668773145,46.0,61.2,2.0,Supérieur,,Homme,Maison,Ouest
18.0,61.53299159958141,35.0,83.6,26.1,,,Femme,Appartement,
56.0,52.075364993439976,38.0,47.6,14.2,Primaire,Moyen,Femme,Maison,Sud
35.0,51.94615634886616,41.0,79.1,,Supérieur,Mauvais,Homme,Maison,Sud
30.0,40.59667840876323,33.0,65.0,0.4,Supérieur,Moyen,Homme,Appartement,Sud
,39.924557068478876,26.0,3.8,7.4,Secondaire,Moyen,Homme,Appartement,Nord
27.0,68.0423432662307,39.0,,8.6,Supérieur,Bon,Femme,,
26.0,30.726594151048886,40.0,86.2,,,Bon,Homme,,Ouest
58.0,82.29545271124452,53.0,,3.9,Secondaire,Moyen,Homme,Maison,Sud
61.0,46.96553494191961,,73.4,19.1,Primaire,Mauvais,Homme,Studio,Sud
32.0,107.24155786245629,50.0,41.8,,Supérieur,Bon,Homme,Maison,Est
52.0,36.137691463407656,28.0,21.5,9.8,Supérieur,Mauvais,Homme,Studio,Sud
44.0,55.003778399606695,26.0,,,,Bon,Homme,,Ouest
23.0,42.963014595031616,36.0,,11.0,Primaire,,Homme,Appartement,Sud
28.0,,30.0,22.8,,Supérieur,Bon,Femme,Maison,Nord
58.0,71.27600701757437,26.0,55.5,,Supérieur,Moyen,Homme,Appartement,Nord
22.0,27.888916112043876,59.0,68.7,,Primaire,Moyen,Femme,Appartement,Ouest
67.0,36.4785098605153,35.0,32.1,,Primaire,Moyen,Femme,Appartement,Nord
33.0,61.726394178298214,60.0,55.3,36.8,Supérieur,Bon,Femme,Appartement,Ouest
58.0,64.8992162189881,30.0,34.8,2.9,Primaire,Moyen,Homme,Appartement,Est
36.0,22.162291575449583,22.0,70.0,1.1,Primaire,Bon,Homme,,Sud
49.0,,52.0,98.9,8.9,Secondaire,Mauvais,Femme,Appartement,Nord
56.0,52.57799826832678,32.0,69.2,5.4,Primaire,Bon,Femme,Appartement,Sud
56.0,31.645532842769402,41.0,,14.3,Primaire,Moyen,Homme,Maison,Est
32.0,34.22236929328892,26.0,48.2,7.5,,Moyen,Homme,Appartement,Est
,10.0,39.0,77.3,7.1,Primaire,,Femme,Maison,
39.0,84.34888855595156,26.0,54.7,10.4,Supérieur,Bon,Homme,Maison,Sud
24.0,70.30840829954013,39.0,95.2,1.4,Secondaire,Moyen,Femme,Maison,
42.0,24.217099796435622,35.0,,11.3,Primaire,Bon,Femme,Appartement,Ouest
30.0,65.97815345583592,42.0,,6.7,Secondaire,Mauvais,Homme,Maison,Ouest
52.0,38.519553121006666,,22.9,17.2,Primaire,,Femme,Appartement,Ouest
33.0,68.29621072699399,42.0,77.0,1.5,Primaire,Moyen,Homme,Maison,Est
19.0,40.07852861681835,44.0,52.9,3.6,Supérieur,Moyen,Femme,Appartement,Nord
56.0,42.73291809784083,38.0,14.7,30.0,Primaire,Moyen,Homme,Maison,
42.0,44.2330546448467,35.0,29.3,8.1,Secondaire,,Homme,Maison,Sud
40.0,36.85289316677374,44.0,52.7,26.5,Supérieur,Moyen,Femme,Maison,Est
,77.98542750466609,38.0,99.6,11.7,Secondaire,Moyen,Homme,Maison,Sud
50.0,67.97053986162958,39.0,37.1,26.1,Secondaire,Moyen,Femme,Appartement,Est
30.0,52.19897076666558,43.0,16.5,3.8,Supérieur,,Homme,Maison,Ouest
34.0,70.49136327971621,29.0,50.2,0.9,Supérieur,,Homme,Appartement,Nord
26.0,17.45856569509081,54.0,31.7,16.2,Supérieur,Mauvais,Homme,Appartement,Ouest
22.0,25.430824428979353,37.0,57.0,16.3,Secondaire,Bon,Femme,,Sud
46.0,59.49109524715925,,,,Supérieur,Moyen,Homme,Appartement,Nord
44.0,64.71073111615777,39.0,,8.7,Supérieur,Bon,Femme,Appartement,Ouest
49.0,55.58815092511503,46.0,91.5,24.6,Secondaire,Moyen,Homme,Maison,Ouest
55.0,12.346106498433628,43.0,20.9,1.9,Secondaire,Moyen,,Maison,Ouest
49.0,28.753309513245043,39.0,82.3,,Primaire,Mauvais,Femme,,
50.0,,54.0,,0.5,,Moyen,Homme,Appartement,Ouest
18.0,98.52944578482536,20.0,38.0,1.5,Primaire,,Homme,Maison,Est
36.0,74.35825330116856,52.0,12.3,5.7,Primaire,Mauvais,Femme,,Est
51.0,81.54608596941546,49.0,82.4,17.2,Primaire,Mauvais,Femme,Appartement,Sud
25.0,56.79450844380598,21.0,70.4,,Secondaire,Moyen,Femme,Maison,Nord
41.0,56.64981961578754,49.0,22.1,36.5,Secondaire,Moyen,Femme,Maison,Est
46.0,29.33029065487848,50.0,45.1,0.5,Secondaire,Bon,Femme,Appartement,Est
45.0,69.03644106103235,45.0,,4.8,Secondaire,Moyen,Femme,Appartement,Sud
44.0,48.536365949179945,24.0,17.8,1.7,Supérieur,Mauvais,Femme,Studio,Sud
,63.85464750927438,46.0,71.8,,Secondaire,,Femme,Appartement,Ouest
42.0,,,69.3,3.1,Secondaire,Moyen,Homme,Maison,
22.0,55.58236849501479,34.0,88.8,2.8,Primaire,Moyen,,,Ouest
46.0,48.24543767402756,44.0,57.2,5.4,Supérieur,Moyen,Femme,,Ouest
43.0,54.49249395645786,36.0,57.9,1.5,Secondaire,Mauvais,Homme,Appartement,Est
22.0,70.00153115090461,48.0,62.3,,Supérieur,Mauvais,Femme,Maison,Nord
56.0,24.675409418615523,36.0,28.1,25.3,Primaire,Mauvais,Homme,Maison,Sud
46.0,20.141551473697803,34.0,76.1,13.8,Secondaire,Bon,Femme,,Sud
23.0,58.51729155277798,,66.6,18.5,Primaire,Bon,Femme,Maison,Est
30.0,78.81148595815233,26.0,84.1,16.3,Primaire,Mauvais,Homme,Maison,Sud
33.0,83.85489233602163,38.0,77.1,4.9,Secondaire,Moyen,Femme,Appartement,Ouest
33.0,25.511795645798564,43.0,64.2,12.3,,Moyen,Homme,Maison,Est
43.0,41.94252329195253,48.0,16.9,14.0,,Mauvais,Homme,Appartement,Sud
28.0,20.415694911101813,42.0,92.0,2.3,Secondaire,Moyen,Homme,Appartement,
53.0,38.9877674722576,25.0,37.4,19.7,Supérieur,Bon,Homme,Maison,Sud
52.0,72.45696190098724,53.0,,,Primaire,Mauvais,Femme,Appartement,
47.0,49.742164328832004,54.0,40.8,0.2,Secondaire,Bon,Femme,,Nord
40.0,42.522518407524245,41.0,15.4,10.3,Secondaire,Moyen,Homme,Maison,Nord
51.0,60.9017151282242,32.0,88.6,11.3,Secondaire,Mauvais,,Maison,Ouest
36.0,34.098958203810575,34.0,79.7,8.0,,Bon,Femme,Maison,Est
31.0,81.85956729763714,37.0,78.8,2.4,Primaire,Mauvais,Femme,,Est
54.0,50.14569944482947,42.0,9.9,6.6,Secondaire,,Femme,Studio,Est
43.0,41.964115140802015,36.0,88.0,5.1,Supérieur,Moyen,Homme,Maison,
31.0,61.73698469591223,31.0,60.0,36.8,Supérieur,Moyen,Femme,Appartement,Est
34.0,,50.0,47.6,17.4,Secondaire,,Homme,Maison,Ouest
,81.91950480298517,42.0,91.4,14.4,Secondaire,Moyen,Homme,Appartement,Sud
64.0,45.800621874836715,29.0,66.9,2.0,Primaire,Moyen,Femme,Maison,Ouest
40.0,71.72113045387434,42.0,14.2,4.0,Secondaire,Moyen,,Maison,Ouest
41.0,52.02423223799994,41.0,52.4,4.8,,Moyen,,Studio,Nord
,37.772399580526105,32.0,,,Secondaire,Moyen,Femme,Studio,
25.0,34.46376941991531,51.0,90.0,0.3,Supérieur,Bon,Homme,Maison,Ouest
53.0,28.060331127339918,,28.7,9.0,Secondaire,Bon,Femme,Appartement,
32.0,35.16612002221772,37.0,79.6,4.4,Secondaire,Moyen,Femme,Maison,Nord
61.0,72.31413243520169,39.0,80.2,8.2,Primaire,Moyen,Homme,Appartement,Nord
36.0,64.13419203572074,44.0,13.7,0.1,Supérieur,Moyen,Femme,Maison,Sud
52.0,25.175766881161007,39.0,2.7,3.9,Supérieur,Bon,Femme,Maison,Nord
18.0,,39.0,58.6,14.6,Secondaire,Moyen,Homme,Maison,Sud
25.0,27.754136884071784,50.0,79.2,7.0,Primaire,,Femme,Appartement,Sud
36.0,34.46527583505703,25.0,55.9,15.6,,Mauvais,Homme,,Nord
18.0,43.93468578845983,27.0,81.5,12.0,Primaire,Bon,Homme,Maison,Sud
47.0,73.45727046017429,47.0,62.6,19.3,Secondaire,Moyen,Femme,Appartement,Ouest
43.0,39.04566282200666,,65.7,,Primaire,Moyen,Homme,Appartement,Nord
28.0,83.60999920354547,48.0,3.8,,Primaire,Moyen,Femme,Appartement,Est
39.0,16.396002153572645,,9.8,8.0,Primaire,Moyen,Femme,Studio,Est
49.0,43.02734958475388,35.0,,28.3,,Moyen,Femme,,Ouest
18.0,65.71097338272803,,,11.4,Secondaire,Moyen,Femme,Maison,Sud
24.0,,44.0,54.7,6.1,Secondaire,Mauvais,Femme,Appartement,Nord
35.0,43.28572087223214,49.0,59.4,1.4,Secondaire,Moyen,Femme,Appartement,Ouest
40.0,70.03506867568393,26.0,61.8,6.8,Secondaire,Moyen,Femme,Appartement,Ouest
39.0,66.24392885013766,37.0,11.4,,Supérieur,,Femme,Maison,Est
50.0,36.357706813749786,39.0,67.1,15.1,Supérieur,Moyen,Homme,Maison,Nord
45.0,56.298569368888444,,48.4,5.3,Primaire,Moyen,Femme,Appartement,Nord
48.0,64.0722656815369,,60.6,3.8,Primaire,Mauvais,Homme,Appartement,Nord
23.0,,48.0,56.8,0.9,Secondaire,Moyen,Femme,Appartement,Nord
41.0,83.88650900538326,44.0,76.5,0.5,Primaire,,,,Nord
36.0,33.29276106764714,47.0,32.5,5.8,Supérieur,Moyen,Homme,Maison,
57.0,52.881857665890244,43.0,38.0,4.3,Primaire,Moyen,Homme,Maison,Sud
42.0,25.004453671609838,31.0,39.8,8.1,Secondaire,Moyen,Homme,Maison,Ouest
31.0,52.0672039732512,,76.5,12.4,,Moyen,Homme,Appartement,Est
50.0,,30.0,,0.4,Secondaire,Moyen,,Maison,Nord
46.0,44.11741717341475,36.0,18.5,6.9,Primaire,Mauvais,Homme,Appartement,Ouest
30.0,,29.0,98.3,19.8,Supérieur,Moyen,Femme,Appartement,Ouest
35.0,65.99626800651444,33.0,49.8,6.1,Supérieur,Bon,Homme,Appartement,Nord
,57.125600994832155,40.0,11.8,7.4,Secondaire,Mauvais,Homme,Appartement,Nord
54.0,71.74821107273398,,67.4,6.7,Primaire,Mauvais,Femme,Appartement,Nord
,43.04389670720328,31.0,74.2,4.9,Secondaire,Moyen,Homme,Maison,Est
48.0,72.67694733761996,51.0,50.5,1.2,Secondaire,Moyen,,Appartement,Nord
